"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,"Low"
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,"Low"
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,"Low"
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,"Low"
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,"Low"
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"Low"
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,"Low"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Low"
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,"Low"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Low"
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,"Low"
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"Low"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Low"
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,"Low"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Low"
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,"Low"
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,"Low"
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,"Low"
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"Low"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Low"
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,"Low"
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,"Low"
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,"Low"
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,"Low"
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,"Low"
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,"Low"
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,"Low"
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,"Low"
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,"Low"
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,"Low"
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,"Low"
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,"Low"
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"Low"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,"Low"
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,"Low"
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,"Low"
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,"Low"
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"Low"
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"Low"
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,"Low"
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,"Low"
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"Low"
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"Low"
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,"Low"
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,"Low"
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,"Low"
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,"Low"
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"Low"
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,"Low"
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,"Low"
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,"Low"
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,"Low"
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"Low"
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Low"
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Low"
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,"Low"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Low"
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Low"
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,"Low"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Low"
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Low"
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,"Low"
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,"Low"
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,"Low"
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,"Low"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,"Low"
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,"Low"
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"Low"
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,"Low"
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"Low"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Low"
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,"Low"
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"Low"
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,"Low"
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,"Low"
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"Low"
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,"Low"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Low"
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,"Low"
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,"Low"
7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,"Low"
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,"Low"
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Low"
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,"Low"
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,"Low"
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"Low"
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"Low"
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,"Low"
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Low"
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Low"
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,"Low"
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,"Low"
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,"Low"
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,"Low"
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,"Low"
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,"Low"
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,"Low"
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,"Low"
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,"Low"
6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,"Low"
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,"Low"
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Low"
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,"Low"
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,"Low"
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"Low"
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,"Low"
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,"Low"
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"Low"
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,"Low"
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"Low"
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,"Low"
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,"Low"
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"Low"
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"Low"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Low"
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,"Medium"
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,"Medium"
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,"Medium"
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,"Medium"
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,"Medium"
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,"Medium"
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,"Medium"
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,"Medium"
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,"Medium"
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,"Medium"
6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,"Medium"
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,"Medium"
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,"Medium"
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,"Medium"
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,"Medium"
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,"Medium"
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,"Medium"
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,"Medium"
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,"Medium"
10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,"Medium"
8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,"Medium"
7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,"Medium"
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,"Medium"
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,"Medium"
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,"Medium"
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,"Medium"
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,"Medium"
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,"Medium"
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"Medium"
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,"Medium"
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,"Medium"
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,"Medium"
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,"Medium"
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,"Medium"
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,"Medium"
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,"Medium"
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,"Medium"
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,"Medium"
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,"Medium"
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,"Medium"
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,"Medium"
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,"Medium"
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,"Medium"
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"Medium"
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,"Medium"
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,"Medium"
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,"Medium"
9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,"Medium"
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,"Medium"
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,"Medium"
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,"Medium"
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,"Medium"
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"Medium"
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,"Medium"
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,"Medium"
8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,"Medium"
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,"Medium"
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,"Medium"
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,"Medium"
7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,"Medium"
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,"Medium"
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,"Medium"
6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,"Medium"
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,"Medium"
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,"Medium"
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,"Medium"
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"Medium"
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,"Medium"
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,"Medium"
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,"Medium"
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,"Medium"
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,"Medium"
7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,"Medium"
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,"Medium"
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,"Medium"
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,"Medium"
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,"Medium"
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,"Medium"
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,"Medium"
7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,"Medium"
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,"Medium"
7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,"Medium"
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,"Medium"
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,"Medium"
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,"Medium"
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,"Medium"
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,"Medium"
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,"Medium"
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,"Medium"
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,"Medium"
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,"Medium"
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,"Medium"
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,"Medium"
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,"Medium"
9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,"Medium"
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,"Medium"
7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,"Medium"
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,"Medium"
7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,"Medium"
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,"Medium"
8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,"Medium"
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,"Medium"
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,"Medium"
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,"Medium"
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,"Medium"
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,"Medium"
