"citric_acid","residual_sugar","density","pH","sulphates","alcohol","quality"
0.49,4.5,0.9981,3.05,0.57,9.6,"Low"
0.09,1.5,0.994,3.5,0.48,9.8,"Low"
0.1,3.1,0.9958,3.54,0.6,11.2,"Low"
0.08,2.3,0.99648,3.52,0.57,11,"Low"
0.26,2.1,0.9976,3.31,0.53,9.2,"Low"
0.48,2.6,0.9972,3.32,0.7,9.6,"Low"
0.08,4.4,0.9974,3.38,0.5,9,"Low"
0.06,2.1,0.9948,3.51,0.43,11.4,"Low"
0.08,2.3,0.99648,3.52,0.57,11,"Low"
0.03,1.6,0.9956,3.37,0.48,9,"Low"
0.24,2.3,0.9978,3.34,0.52,10,"Low"
0.03,1.8,0.9972,3.36,0.33,9.1,"Low"
0,2.5,0.99798,3.38,0.46,9.6,"Low"
0.48,2.6,0.9972,3.32,0.7,9.6,"Low"
0,2.2,0.99557,3.62,0.62,11.5,"Low"
0.02,1.3,0.9965,3.17,1.08,9.2,"Low"
0.44,1.6,0.99836,3.38,0.86,9.9,"Low"
0.54,2.1,0.99719,3.33,0.57,10.3,"Low"
0.2,1.5,0.9972,3.16,1.12,9.1,"Low"
0,2.2,0.99557,3.62,0.62,11.5,"Low"
0,2.2,0.99557,3.62,0.62,11.5,"Low"
0,2.1,0.99664,3.59,0.61,10,"Low"
0.27,2.1,0.9962,3.26,0.47,10,"Low"
0,1.9,0.99672,3.34,0.49,9.7,"Low"
0.24,2,0.99576,3.43,0.54,10,"Low"
0.66,2.2,1.0008,3.25,0.57,9,"Low"
0,2.1,0.99664,3.59,0.61,10,"Low"
0.04,1.4,0.9938,3.75,0.48,10.5,"Low"
0.09,1.5,0.994,3.5,0.48,9.8,"Low"
0.09,1.5,0.994,3.5,0.48,9.8,"Low"
0.03,1.6,0.9956,3.37,0.48,9,"Low"
0.04,2,0.99565,3.35,0.6,9.4,"Low"
0.66,2.2,1.0008,3.25,0.57,9,"Low"
0,4.25,0.9966,3.63,0.54,10.7,"Low"
0.37,2.2,0.99614,3.23,0.49,9.3,"Low"
0.08,2.3,0.99648,3.52,0.57,11,"Low"
0.08,2.3,0.99648,3.52,0.57,11,"Low"
0.24,2,0.99576,3.43,0.54,10,"Low"
0.36,2,0.99745,3.31,0.57,10.4,"Low"
0,2.1,0.99476,3.5,0.4,10.9,"Low"
0.05,2.1,0.99705,3.31,0.55,9.7,"Low"
0.31,3,1.0002,3.48,0.74,11.6,"Medium"
0,4.3,0.99558,3.2,0.45,9.5,"Medium"
0.48,2.6,0.99852,3.09,0.53,11,"Medium"
0.59,1.4,0.99702,3.03,1.34,9.2,"Medium"
0.6,3,0.99828,3.39,0.68,10.6,"Medium"
0.14,2.4,0.9975,3.42,0.6,10.8,"Medium"
0.34,2.7,0.9982,3.26,0.61,9.5,"Medium"
0.29,2.1,0.99578,3.33,0.62,9.8,"Medium"
0.55,1.8,0.9968,3.17,0.62,9.4,"Medium"
0.36,2.3,0.9976,3.34,0.46,9.4,"Medium"
0.49,2.7,0.9994,3.15,0.63,10.5,"Medium"
0,2,0.99676,3.31,0.6,9.4,"Medium"
0.21,1.8,0.99689,3.59,0.66,9.8,"Medium"
0.31,2.2,0.9994,3.18,0.63,10.2,"Medium"
0.01,2.2,0.99242,3.39,0.4,12.8,"Medium"
0.25,1.8,0.9957,3.38,0.55,9.2,"Medium"
0.5,2,0.99783,3.1,0.58,10.4,"Medium"
0.25,2.2,0.99616,3.15,0.53,9.8,"Medium"
0.04,2.2,0.99636,3.53,0.56,9.9,"Medium"
0.5,2.3,0.996,3.1,0.87,11.4,"Medium"
0.05,1.9,0.9961,3.42,0.57,11.5,"Medium"
0.2,2.1,0.99733,3.13,0.48,9.2,"Medium"
0.44,1.7,0.99605,3.52,0.63,10.7,"Medium"
0.12,1.7,0.99596,3.16,0.49,9.4,"Medium"
0.04,3.8,0.9978,3.34,0.53,9.5,"Medium"
0.48,2.1,0.998,3.03,0.81,9.7,"Medium"
0,1.9,0.99521,3.36,0.59,11,"Medium"
0.4,1.3,0.99478,3.2,0.83,10.9,"Medium"
0,5.5,0.9986,3.4,0.55,9.6,"Medium"
0.6,2.6,0.99656,3.38,0.79,11.1,"Medium"
0.56,2,0.99534,3.15,0.73,11.4,"Medium"
0.31,2.2,0.9994,3.18,0.63,10.2,"Medium"
0.24,1.7,0.99692,3.29,0.67,10,"Medium"
0.24,3.3,0.9988,3.26,0.67,9.6,"Medium"
0.31,2.3,0.99699,3.24,0.56,10.9,"Medium"
0.5,2.3,0.996,3.1,0.87,11.4,"Medium"
0.06,2,0.99489,3.38,0.83,10.3,"Medium"
0.33,2.2,0.9949,3.41,0.75,11.1,"Medium"
0.4,2.2,0.996,3.33,0.93,11.3,"Medium"
0.12,2,0.99547,3.57,0.71,10.2,"Medium"
0.03,1.8,0.995,3.35,0.54,10.1,"Medium"
0.14,2.4,0.99732,3.66,0.65,9.8,"Medium"
0.46,2.5,1.0001,3.05,0.64,9.5,"Medium"
0.1,1.6,0.99306,3.55,0.51,12.1,"Medium"
0.26,1.7,0.9971,3.15,0.74,9.2,"Medium"
0.24,2.2,0.9946,3.57,0.57,11.7,"Medium"
0.05,2.7,0.9974,3.26,0.61,9.1,"Medium"
0.38,1.6,0.99914,3.15,0.65,8.5,"Medium"
0.11,1.4,0.99578,2.88,0.47,9.7,"Medium"
0.49,2.6,0.9988,3.34,0.75,8.7,"Medium"
0.13,2.3,0.99574,3.42,0.75,11,"Medium"
0.18,2.1,0.99768,3.52,0.73,9.5,"Medium"
0.49,3.3,1.0003,3.32,0.91,11,"Medium"
0.1,1.5,0.99655,3.39,0.51,9.3,"Medium"
0.24,2.2,0.9946,3.57,0.57,11.7,"Medium"
0.49,2.5,0.9992,3.07,0.82,10.3,"Medium"
0.39,1.5,0.99652,3.47,0.73,10.9,"Medium"
0.43,2.9,0.9984,3.08,0.57,10.1,"Medium"
0.08,2.1,0.9958,3.13,0.52,11,"Medium"
0.21,1.7,0.9968,3.2,0.52,9.5,"Medium"
0.24,2.8,0.9998,3.24,0.67,9.9,"Medium"
0.42,5.5,0.9973,3.42,0.71,10.5,"Medium"
0,2.2,0.99544,3.59,0.68,11.4,"Medium"
0.58,3.7,0.997,3.19,0.7,11.3,"Medium"
0.58,4,0.99935,3.22,0.78,10.1,"Medium"
0.63,2.3,1.0004,3.16,0.49,9.5,"Medium"
0.2,2.4,0.99735,3.31,0.64,9.4,"Medium"
0.28,2,0.99694,3.45,0.48,9.4,"Medium"
0.08,1.8,0.99336,3.38,0.54,11,"Medium"
0.4,1.4,0.9912,3.25,0.59,11.9,"Medium"
0.21,1.9,0.997,3.52,0.58,9.3,"Medium"
0.22,2.3,0.9963,3.1,0.55,9.4,"Medium"
0.3,2.2,0.99725,3.25,1.18,10.5,"Medium"
0.26,2.4,0.9978,3.28,0.55,9.4,"Medium"
0.08,1.7,0.9954,3.34,0.58,9.4,"Medium"
0.4,2.6,0.99834,3.22,0.64,10,"High"
0,1.2,0.9946,3.39,0.47,10,"High"
0.09,1.4,0.99459,3.42,0.7,10,"High"
0.1,6,0.9984,3.37,0.69,10.1,"High"
0.18,2.1,0.9924,3.46,0.87,12.9,"High"
0.32,2.1,0.99728,3.3,0.65,10,"High"
0.34,2.5,0.99594,3.4,0.78,11.3,"High"
0.46,4.6,0.99639,3.27,0.64,12.2,"High"
0.33,2.5,0.9952,3.35,0.77,12.1,"High"
0.3,1.8,0.99419,3.24,0.7,11.4,"High"
0.52,1.8,0.9968,3.2,0.72,10.2,"High"
0.66,3.65,0.9978,3.05,0.74,11.5,"High"
0.34,2.5,0.99356,3.22,0.59,12.5,"High"
0.34,2.3,0.99864,3.24,0.6,9.7,"High"
0.34,2.5,0.99356,3.22,0.59,12.5,"High"
0.48,2.1,0.99408,3.26,0.62,12.4,"High"
0.57,2.4,0.9971,3.19,0.76,11.6,"High"
0.32,1.8,0.9928,3.36,0.55,12.8,"High"
0.39,2.4,0.99444,3.31,0.77,12.5,"High"
0.37,2.5,0.99439,3.52,0.8,12.4,"High"
0.36,1.9,0.99604,3.47,0.87,11,"High"
0.41,5.9,0.99658,3.3,0.62,12.1,"High"
0.46,2.1,0.99534,3.4,0.85,11,"High"
0.39,2.5,0.99528,3.32,0.88,12.4,"High"
0.45,6.4,0.9976,3.23,0.82,12.6,"High"
0.41,2,0.99523,3.27,0.85,11.7,"High"
0.42,2.3,0.99434,3.14,0.71,11.8,"High"
0.53,2.6,0.9972,3.15,0.65,11,"High"
0.03,1.8,0.9908,3.5,0.82,14,"High"
0.06,6,0.9962,3.41,0.59,10.8,"High"
0.49,3.4,1.0002,3.3,0.76,10.7,"High"
0.32,2.1,0.99728,3.3,0.65,10,"High"
0.75,2.8,0.9986,3.04,0.68,11.4,"High"
0.01,2.5,0.9963,3.34,0.74,11.7,"High"
0.03,1.8,0.9908,3.5,0.82,14,"High"
0.46,3.6,0.9973,3.35,0.86,12.8,"High"
0.38,2.8,0.99356,3.34,0.72,12.9,"High"
0.46,4.6,0.99639,3.27,0.64,12.2,"High"
0.49,2.6,0.9976,3.05,0.74,10.5,"High"
0.12,2.3,0.99519,3.47,0.71,11.3,"High"
0.32,2.8,0.99473,3.3,0.76,12.8,"High"
0.38,2.8,0.99356,3.34,0.72,12.9,"High"
0,1.2,0.9946,3.39,0.47,10,"High"
0.58,2.1,0.998,3.31,0.88,10.5,"High"
0.44,2.2,1.00005,3.07,0.84,9.2,"High"
0.45,1.8,0.99552,3.41,0.76,11.9,"High"
0.47,2.1,0.9978,3.15,0.9,11,"High"
0.76,3.7,1.0032,2.95,0.68,11.2,"High"
0.53,4,0.99586,3.21,0.59,12.1,"High"
0.01,1.8,0.99568,3.32,0.56,10.5,"High"
0.54,1.5,0.99735,3.02,0.76,9.9,"High"
0.46,2.1,0.99664,3.12,0.65,11.8,"High"
0.48,2.1,0.99408,3.26,0.62,12.4,"High"
0.04,1.6,0.9927,3.54,0.62,12.2,"High"
0.01,1.8,0.99568,3.32,0.56,10.5,"High"
0.27,2,0.99471,3.78,0.64,12.3,"High"
0.49,5,0.99484,3.19,0.52,12.5,"High"
0.11,2.2,0.99182,3.54,0.88,13.5666666666667,"High"
0.46,2.1,0.99534,3.4,0.85,11,"High"
0.53,4,0.99586,3.21,0.59,12.1,"High"
0.32,1.8,0.9928,3.36,0.55,12.8,"High"
0.33,1.7,0.996,3.23,1.1,10,"High"
0.57,2.3,0.99676,3.14,0.72,11.1,"High"
0.35,1.7,0.99458,3.32,0.8,11.9,"High"
0.45,1.7,0.99354,3.25,0.55,12.3,"High"
0.47,1.4,0.99695,3.22,0.82,10.3,"High"
0.66,3.65,0.9978,3.05,0.74,11.5,"High"
0,1.7,0.99264,3.56,0.94,12.9,"High"
0.64,2.4,0.9973,3.09,0.66,11.8,"High"
0.11,2.2,0.99182,3.54,0.88,13.5666666666667,"High"
0.44,2.4,0.99484,3.29,0.8,11.6,"High"
0.3,2.8,0.9964,3.33,0.67,11.2,"High"
0.74,2.6,0.9994,3.2,0.77,10.8,"High"
0.63,2.8,0.9998,3.26,0.74,11.2,"High"
0.1,2.4,0.99736,3.58,0.69,10.8,"High"
