title,year,length,budget,rating,votes,Action,Animation,Comedy,Drama,Documentary,Romance,Short,Genre
Ace Ventura: When Nature Calls,1995,90,30000000,4.9,15161,0,0,1,0,0,0,0,Comedy
Ace in the Hole,1951,111,1821052,7.9,1097,0,0,0,1,0,0,0,Drama
Across the Wide Missouri,1951,78,5000000,6.1,209,0,0,0,0,0,0,0,0
Across to Singapore,1928,86,290000,6.4,53,0,0,0,1,0,0,0,Drama
Actors Anonymous: The Truth Behind the Dream,2003,60,30000,3.2,8,0,0,0,0,1,0,0,Documentary
Acts of Betrayal,1997,90,3000000,4.6,94,1,0,0,0,0,0,0,Action
Adam Had Four Sons,1941,81,488000,6.2,76,0,0,0,1,0,1,0,Drama
Adaptation.,2002,114,19000000,7.9,25140,0,0,1,1,0,0,0,Comedy
"Addams Family, The",1991,99,38000000,6.4,11549,0,0,1,0,0,0,0,Comedy
Adventure,1945,135,3500000,5.4,106,0,0,1,1,0,1,0,Comedy
Adventure's End,1937,60,90000,3.3,16,0,0,0,0,0,0,0,0
"Adventures of Baron Munchausen, The",1988,125,46630000,6.8,7927,0,0,1,0,0,0,0,Comedy
"Adventures of Bob & Doug McKenzie: Strange Brew, The",1983,90,4000000,6.6,4556,0,0,1,0,0,0,0,Comedy
"Adventures of Dollie, The",1908,12,0,5.1,34,1,0,0,0,0,0,1,Action
"Adventures of Elmo in Grouchland, The",1999,89,17000000,5.5,420,0,0,1,0,0,0,0,Comedy
"Adventures of Huck Finn, The",1993,108,6500000,5.9,1134,0,0,0,1,0,0,0,Drama
"Adventures of Lucky Pierre, The",1961,70,7100,1.9,15,0,0,1,0,0,0,0,Comedy
"Adventures of Marco Polo, The",1938,100,2000000,5.8,136,0,0,0,0,0,0,0,0
"Adventures of Pinocchio, The",1996,92,25000000,5.6,577,0,0,0,0,0,0,0,0
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,1,0,1,0,0,0,0,Action
"Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,1,0,0,0,0,1,0,Action
"Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,4815,0,1,1,0,0,0,0,Animation
"Affairs of Cellini, The",1934,80,549370,5.8,43,0,0,1,0,0,0,0,Comedy
Affairs with Bears,2002,27,7000,8.3,6,0,0,0,0,1,0,1,Documentary
Affliction,1997,114,6000000,6.9,3679,0,0,0,1,0,0,0,Drama
After Hours,1985,96,4500000,7.4,5630,0,0,1,0,0,0,0,Comedy
After Image,2001,92,1200000,3.9,60,0,0,0,0,0,0,0,0
After Midnight,1989,90,3000000,5.1,160,0,0,0,0,0,0,0,0
After Sex,2000,96,5000000,4.5,205,0,0,1,1,0,1,0,Comedy
After the Sunset,2004,97,58000000,6,3431,1,0,1,0,0,0,0,Action
Afterschool Delight,2003,10,5000,6.3,5,0,0,1,0,0,0,1,Comedy
Age of Innocence,1977,101,850000,6.1,47,0,0,0,0,0,0,0,0
"Age of Innocence, The",1993,139,34000000,7.1,6049,0,0,0,1,0,1,0,Drama
Agent Cody Banks,2003,102,26000000,5.5,2655,1,0,1,0,0,0,0,Action
Agent Cody Banks 2: Destination London,2004,100,26000000,3.8,919,1,0,1,0,0,0,0,Action
Agent on Ice,1985,96,2500000,4.4,15,1,0,0,0,0,0,0,Action
Aida degli alberi,2001,75,7000000,4.3,16,0,1,0,0,0,0,0,Animation
Aimee Semple McPherson,2004,112,500000,8.4,8,0,0,0,1,0,0,0,Drama
Air Bud,1997,98,3000000,4.7,1276,0,0,1,1,0,0,0,Comedy
Air Force One,1997,124,85000000,6.3,26156,1,0,0,1,0,0,0,Action
Air Marshal,2003,90,500000,3,81,1,0,0,0,0,0,0,Action
Airborne,1993,91,2600000,5.2,1047,0,0,1,0,0,0,0,Comedy
Airmail,1932,84,305000,6,76,0,0,0,1,0,0,0,Drama
Airplane!,1980,88,3500000,7.8,23369,0,0,1,0,0,0,0,Comedy
Airport,1970,137,10000000,6.4,2918,0,0,0,1,0,0,0,Drama
Airport 1975,1974,107,3000000,4.9,1385,1,0,0,1,0,0,0,Action
Akasha,2001,82,1500,7.3,29,0,0,0,0,0,0,0,0
Akumulator 1,1994,102,2000000,7.1,272,0,0,1,0,0,0,0,Comedy
Aladdin,1992,90,28000000,7.6,22499,0,1,1,0,0,0,0,Animation
"Alamo, The",1960,192,12000000,6.6,2083,1,0,0,1,0,0,0,Action
"Alamo, The",2004,137,95000000,5.9,3060,1,0,0,1,0,0,0,Action
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,0,0,1,0,0,0,0,Comedy
Albino Alligator,1996,97,5000000,6,2077,0,0,0,1,0,0,0,Drama
Alex's Apartment,1992,80,45000,6.8,6,0,0,0,0,0,0,0,0
Alexander,2004,175,150000000,5.5,11254,0,0,0,1,0,0,0,Drama
Alexander's Ragtime Band,1938,106,2000000,7.5,204,0,0,0,1,0,0,0,Drama
Alferd Packer: The Musical,1996,97,125000,7,2298,0,0,1,0,0,1,0,Comedy
Alfie,1966,114,800000,7.1,1644,0,0,1,1,0,0,0,Comedy
Alfie,2004,103,60000000,6,3492,0,0,1,1,0,0,0,Comedy
Ali,2001,165,107000000,6.4,9294,0,0,0,1,0,0,0,Drama
Alias,2002,98,1500000,5.7,266,0,0,0,1,0,1,0,Drama
Alice,1990,102,12000000,6.4,1706,0,0,1,1,0,1,0,Comedy
Alice Doesn't Live Here Anymore,1974,112,85000,7.3,2231,0,0,0,1,0,0,0,Drama
Alice in Wonderland,1951,75,3000000,7.2,4656,0,1,1,0,0,0,0,Animation
Alice's Adventures in Wonderland,1972,95,2500000,5.6,165,0,0,0,0,0,0,0,0
Alien,1979,116,11000000,8.3,63400,0,0,0,0,0,0,0,0
Alien Abduction,2005,90,600000,1.9,73,0,0,0,0,0,0,0,0
Alien Dead,1980,69,12000,2.4,112,0,0,0,0,0,0,0,0
Alien Escape,1997,85,1000000,5.6,23,0,0,0,0,0,0,0,0
Alien Nation,1988,91,16000000,6,2171,0,0,0,1,0,0,0,Drama
Alien: Resurrection,1997,116,70000000,6,24358,1,0,0,0,0,0,0,Action
Aliens,1986,154,18500000,8.3,63961,1,0,0,0,0,0,0,Action
Alive,1993,127,32000000,6.7,5786,1,0,0,1,0,0,0,Action
All About the Benjamins,2002,95,14000000,5.4,1250,1,0,1,0,0,0,0,Action
All Quiet on the Western Front,1930,147,1200000,8.2,6835,1,0,0,1,0,0,0,Action
"All This, and Heaven Too",1940,141,1370000,7.4,441,0,0,0,1,0,1,0,Drama
All Through the Night,1942,107,750000,7,361,1,0,1,1,0,0,0,Action
All the President's Men,1976,138,8500000,8,12724,0,0,0,1,0,0,0,Drama
All the Pretty Horses,2000,116,45000000,5.6,3133,0,0,0,1,0,0,0,Drama
All the Queen's Men,2001,105,25000000,5,353,1,0,1,1,0,0,0,Action
All the Real Girls,2003,108,1000000,6.8,1745,0,0,0,1,0,1,0,Drama
All the Stage Is a World,2005,89,12000,7,7,0,0,1,1,1,0,0,Comedy
All the Vermeers in New York,1990,87,250000,5.9,126,0,0,1,1,0,1,0,Comedy
Alligator,1980,89,1000000,5.5,1032,0,0,1,0,0,0,0,Comedy
Alligator II: The Mutation,1991,92,3000000,2.7,282,0,0,0,0,0,0,0,0
Almost Famous,2000,162,60000000,8,38648,0,0,1,1,0,0,0,Comedy
Almost You,1985,96,1000000,4.9,44,0,0,1,1,0,0,0,Comedy
"Aloha, Bobby and Rose",1975,85,60000,5,90,0,0,0,1,0,0,0,Drama
Alone in the Dark,2005,96,20000000,2.1,2880,1,0,0,0,0,0,0,Action
Along Came Polly,2004,90,42000000,5.8,9785,0,0,1,0,0,1,0,Comedy
Along Came a Spider,2001,104,28000000,6.1,9456,0,0,0,1,0,0,0,Drama
Along for the Ride,2000,99,150000,7.6,15,0,0,0,0,0,0,0,0
Alpha Dead,2004,11,5000,8,6,0,0,0,0,0,0,1,Short
"Alpha Incident, The",1978,95,200000,4,40,0,0,0,1,0,0,0,Drama
Als je begrijpt wat ik bedoel,1983,84,2000000,7.5,224,0,1,0,0,0,0,0,Animation
Always,1989,106,29500000,6.2,4913,0,0,0,1,0,1,0,Drama
Always Late,2004,6,1000,5.8,8,0,0,0,0,0,0,1,Short
Amadeus,1984,180,18000000,8.3,36955,0,0,0,1,0,0,0,Drama
Ame agaru,1999,91,3800000,7.8,448,0,0,0,1,0,0,0,Drama
America 3000,1986,84,2000000,3.7,123,1,0,0,0,0,0,0,Action
America's Sweethearts,2001,102,48000000,5.8,11849,0,0,1,0,0,1,0,Comedy
American Beauty,1999,121,15000000,8.5,109991,0,0,0,1,0,0,0,Drama
"American Bickman Burger, The",2001,18,100000,5.7,13,0,0,0,0,0,0,1,Short
American Boy: A Profile of: Steven Prince,1978,55,155000,7.2,69,0,0,0,0,1,0,0,Documentary
American Desi,2001,100,250000,6.8,291,0,0,1,1,0,1,0,Comedy
American Drive-In,1985,92,10000000,4.1,25,0,0,1,0,0,0,0,Comedy
American Gigolo,1980,117,4800000,5.7,2469,0,0,0,1,0,1,0,Drama
American Graffiti,1973,110,777000,7.6,12758,0,0,1,1,0,0,0,Comedy
American History X,1998,119,10000000,8.4,59677,0,0,0,1,0,0,0,Drama
American Jedi,2002,8,2000,7.9,9,0,0,1,0,0,0,1,Comedy
American Me,1992,125,16000000,6.6,697,0,0,0,1,0,0,0,Drama
American Ninja 2: The Confrontation,1987,90,350000,3.7,641,1,0,0,1,0,0,0,Action
American Outlaws,2001,94,35000000,5.5,2878,1,0,1,0,0,0,0,Action
American Pie,1999,95,11000000,6.8,41126,0,0,1,0,0,0,0,Comedy
American Pie 2,2001,105,30000000,6.3,22752,0,0,1,0,0,0,0,Comedy
"American President, The",1995,114,62000000,6.9,11834,0,0,1,1,0,1,0,Comedy
American Psycho,2000,102,8000000,6.8,21639,0,0,0,1,0,0,0,Drama
American Raspberry,1977,75,50000,5.5,17,0,0,1,0,0,0,0,Comedy
American Wedding,2003,103,55000000,6.3,13590,0,0,1,0,0,0,0,Comedy
"American Werewolf in London, An",1981,92,10000000,7.2,8347,0,0,1,0,0,1,0,Comedy
"American Werewolf in Paris, An",1997,105,22000000,5,4302,0,0,1,0,0,1,0,Comedy
American Yearbook,2004,90,500000,9.3,23,0,0,0,0,0,0,0,0
"American in Paris, An",1951,113,2723903,7.4,3736,0,0,0,0,0,1,0,Romance
Amistad,1997,152,40000000,7,10543,0,0,0,1,0,0,0,Drama
"Amityville Horror, The",2005,90,18000000,5.8,2945,0,0,0,0,0,0,0,0
"Amor y el espanto, El",2001,110,650000,7,7,0,0,0,1,0,0,0,Drama
Amores perros,2000,153,2000000,8.2,15079,0,0,0,1,0,0,0,Drama
Anaconda,1997,89,45000000,4.1,10510,1,0,0,0,0,0,0,Action
Anacondas: The Hunt for the Blood Orchid,2004,97,25000000,4.2,2258,0,0,0,0,0,0,0,0
Analyze This,1999,109,30000000,6.6,24521,0,0,1,0,0,0,0,Comedy
Anastasia,1997,94,53000000,6.5,4896,0,1,0,0,0,0,0,Animation
Anatomy of a Fight,2003,80,17000,6.5,24,0,0,1,1,0,0,0,Comedy
Anchorman: The Legend of Ron Burgundy,2004,104,26000000,6.5,11553,0,0,1,0,0,0,0,Comedy
And Baby Makes Three,1949,84,700000,5.3,22,0,0,1,0,0,1,0,Comedy
And I Lived,2005,107,20000,9.4,5,0,0,0,1,0,0,0,Drama
And Now for Something Completely Different,1971,85,100000,7.4,3539,0,0,1,0,0,0,0,Comedy
And Then Came Summer,2000,115,2300,4.1,60,0,0,0,1,0,0,0,Drama
Andy,1985,73,125000,8.1,12,0,0,0,0,0,0,0,0
Andy in Love,2004,11,4000,8.2,5,0,0,0,1,0,0,1,Drama
Angel Eyes,2001,102,38000000,5.6,4829,0,0,0,1,0,1,0,Drama
Angel Heart,1987,113,17000000,7.1,8335,0,0,0,0,0,0,0,0
Angela's Ashes,1999,145,25000000,6.8,4347,0,0,0,1,0,0,0,Drama
Anger Management,2003,106,75000000,6,14280,0,0,1,0,0,0,0,Comedy
"Angry Red Planet, The",1960,83,190000,4.7,406,0,0,0,0,0,0,0,0
Anima,2003,26,50000,7.9,12,0,0,0,1,0,0,1,Drama
Animal House,1978,109,3000000,7.5,17609,0,0,1,0,0,0,0,Comedy
"Animal, The",2001,84,22000000,4.8,5605,0,0,1,0,0,0,0,Comedy
"Animatrix: Final Flight of the Osiris, The",2003,11,5000000,7.6,1536,1,1,0,0,0,0,1,Action
Ann Vickers,1933,76,303000,6.1,46,0,0,0,1,0,0,0,Drama
Anna Christie,1930,89,376000,6.6,252,0,0,0,1,0,0,0,Drama
Anna Karenina,1935,95,1152000,7.3,476,0,0,0,1,0,0,0,Drama
Anna and the King,1999,148,75000000,6.6,6739,0,0,0,1,0,1,0,Drama
Annie,1982,126,50000000,5.7,3475,0,0,0,0,0,0,0,0
Annie Get Your Gun,1950,107,3768785,7.2,529,0,0,1,0,0,1,0,Comedy
Annie Hall,1977,93,4000000,8.3,21462,0,0,1,0,0,1,0,Comedy
Another Language,1933,77,272297,6.6,12,0,0,0,1,0,0,0,Drama
Another Woman,1988,84,10000000,7.2,1380,0,0,0,1,0,0,0,Drama
Another You,1991,94,26000000,4.4,398,0,0,1,0,0,0,0,Comedy
Anthony Adverse,1936,141,1050500,6.7,203,0,0,0,1,0,1,0,Drama
Anthrax,2001,90,2500000,4.1,49,0,0,0,1,0,0,0,Drama
Antikiller,2002,114,5000000,5.4,231,1,0,0,0,0,0,0,Action
Antitrust,2001,108,30000000,6,7326,0,0,0,1,0,0,0,Drama
"Antman, The",2002,94,800000,7.2,53,0,0,1,0,0,0,0,Comedy
Antony and Cleopatra,1972,160,1600000,4.9,84,0,0,0,1,0,0,0,Drama
Antwone Fisher,2002,117,12500000,7.4,4472,0,0,0,1,0,0,0,Drama
Antz,1998,83,60000000,7,16312,0,1,1,0,0,0,0,Animation
Anus Magillicutty,2003,70,5000,1.8,488,0,0,1,0,0,1,0,Comedy
Any Given Sunday,1999,156,62000000,6.4,19531,0,0,0,1,0,0,0,Drama
Any Number Can Play,1949,112,1465641,6.3,67,0,0,0,1,0,0,0,Drama
Anyone,2004,8,1000,9.6,7,0,0,0,1,0,0,1,Drama
Anything Else,2003,108,18000000,6.5,3678,0,0,1,0,0,1,0,Comedy
Anything Goes,1936,92,1100000,6,44,0,0,1,0,0,0,0,Comedy
Anywhere But Here,1999,114,23000000,5.9,4007,0,0,0,1,0,0,0,Drama
Apache Woman,1955,69,80000,4,23,0,0,0,0,0,0,0,0
Aparte,2002,91,90000,8.5,24,0,0,0,1,1,0,0,Drama
Apartment Zero,1988,124,4000000,6.2,933,0,0,0,0,0,0,0,0
"Apartment, The",1960,125,3000000,8.4,11214,0,0,1,1,0,1,0,Comedy
Apocalypse Now,1979,202,31500000,8.5,64785,1,0,0,1,0,0,0,Action
Apollo 13,1995,140,62000000,7.5,41098,0,0,0,1,0,0,0,Drama
"Apostle, The",1997,134,5000000,7.2,4231,0,0,0,1,0,0,0,Drama
"Appointment, The",1996,89,45000,5.3,8,0,0,0,0,0,0,0,0
Apt Pupil,1998,112,14000000,6.4,6728,0,0,0,1,0,0,0,Drama
Arachnophobia,1990,103,31000000,6.1,8608,0,0,1,0,0,0,0,Comedy
Arc,2004,30,9000,9.4,10,0,0,0,0,0,0,1,Short
Arch of Triumph,1948,133,5000000,5.6,169,0,0,0,1,0,1,0,Drama
Are These Our Children,1931,84,400000,6,26,0,0,0,1,0,0,0,Drama
Are We There Yet?,2005,95,32000000,3.5,1043,0,0,1,0,0,0,0,Comedy
Are You Popular?,1947,10,11000,4.3,18,0,0,0,1,0,0,1,Drama
"Argentino en New York, Un",1998,95,3000000,4.2,49,0,0,1,1,0,0,0,Comedy
"Aristocats, The",1970,78,4000000,6.6,2972,0,1,0,0,0,1,0,Animation
Arizona,1940,121,2000000,6.8,67,0,0,0,0,0,0,0,0
Arlington Road,1999,117,21500000,7.1,17189,0,0,0,1,0,0,0,Drama
Armageddon,1998,153,140000000,5.7,45330,1,0,0,0,0,0,0,Action
Armed Response,1986,86,1500000,4.2,70,1,0,0,0,0,0,0,Action
Army of Darkness,1993,96,11000000,7.4,22118,1,0,1,0,0,0,0,Action
Around the Fire,1999,106,1200000,5.3,254,0,0,0,0,0,0,0,0
Around the World in 80 Days,2004,120,110000000,5.7,3887,1,0,1,0,0,1,0,Action
Around the World in Eighty Days,1956,175,6000000,6.8,2589,0,0,1,0,0,0,0,Comedy
Arrangement,2004,109,3200000,9.2,23,0,0,1,0,0,1,0,Comedy
Art Thief Musical!,2004,20,25000,8.5,6,0,0,0,0,0,0,1,Short
Arthur,1981,97,7000000,6.6,4595,0,0,1,0,0,1,0,Comedy
Artie Shaw: Time Is All You've Got,1985,114,250000,7.9,18,0,0,0,0,1,0,0,Documentary
Artificial Intelligence: AI,2001,146,90000000,6.8,36623,0,0,0,1,0,0,0,Drama
Artists and Models,1955,109,1500000,6.2,433,0,0,1,0,0,0,0,Comedy
As Good as It Gets,1997,139,50000000,7.7,47441,0,0,1,1,0,1,0,Comedy
As You Desire Me,1932,70,460733,6,107,0,0,0,1,0,0,0,Drama
Asburied,2002,8,2000,8.7,7,0,0,0,0,0,0,1,Short
Ascension,2004,85,5500,8.8,12,0,0,0,1,0,0,0,Drama
Asesino en serio,2002,84,2500000,5.8,90,0,0,1,0,0,0,0,Comedy
Ash Wednesday,2005,23,4999,8.6,12,0,0,1,1,0,1,1,Comedy
"Assassination of Trotsky, The",1972,103,2500000,5,148,0,0,0,1,0,0,0,Drama
Assassins,1995,132,50000000,5.7,7354,1,0,0,0,0,0,0,Action
Assault of the Killer Bimbos,1988,85,250000,4,149,0,0,1,0,0,0,0,Comedy
Assault on Precinct 13,1976,91,100000,7.3,4093,1,0,0,0,0,0,0,Action
Assault on Precinct 13,2005,109,20000000,6.3,2960,1,0,0,1,0,0,0,Action
Assisted Living,2003,78,500000,7.4,56,0,0,1,1,0,0,0,Comedy
Asterix in Amerika,1994,85,12500000,5.4,394,0,1,1,0,0,0,0,Animation
"Astronaut's Wife, The",1999,109,34000000,4.8,7253,0,0,0,0,0,0,0,0
Aswang,1994,82,70000,4.6,89,0,0,0,0,0,0,0,0
Asylum of Satan,1975,80,50000,2.9,78,0,0,0,0,0,0,0,0
At Close Range,1986,111,6500000,6.6,1650,0,0,0,1,0,1,0,Drama
At First Sight,1999,128,40000000,5.7,3441,0,0,0,1,0,0,0,Drama
At Long Last Love,1975,105,6000000,4.3,193,0,0,1,0,0,1,0,Comedy
At Night with No Curtains,2004,87,8000,2.7,23,0,0,0,1,0,0,0,Drama
Atlantic City,1980,104,7200000,7.5,2384,0,0,0,1,0,1,0,Drama
Atlantida,2002,93,1000000,7.6,9,0,0,0,1,0,1,0,Drama
Atlantis: The Lost Empire,2001,95,90000000,6.4,6323,1,1,0,0,0,0,0,Action
Atlas,1961,79,70000,4,26,1,0,0,1,0,0,0,Action
"Atomic Submarine, The",1959,72,135000,3.9,94,1,0,0,0,0,0,0,Action
Atrapados,1999,26,3500,9.4,7,0,0,0,0,0,0,1,Short
Attack of the 50 Foot Woman,1958,65,88000,4.5,521,0,0,0,0,0,0,0,0
Attack of the Crab Monsters,1957,62,70000,4,207,0,0,0,0,0,0,0,0
Attack of the Giant Leeches,1959,62,70000,2.8,426,0,0,0,0,0,0,0,0
"Attic Expeditions, The",2001,100,1000000,5.4,384,0,0,0,0,0,0,0,0
Attic Man,2004,10,6000,8.7,7,0,0,1,0,0,0,1,Comedy
Attila,1954,100,900000,5.2,67,0,0,0,1,0,0,0,Drama
Auch Zwerge haben klein angefangen,1970,96,200000,7.2,330,0,0,0,1,0,0,0,Drama
Aura,2002,22,19000,8.5,6,0,0,0,0,0,0,1,Short
Aurora,1998,87,90000,4.5,59,0,0,0,1,1,0,0,Drama
Austerlitz,1960,122,4000000,5.1,82,0,0,0,1,0,0,0,Drama
Austin Powers in Goldmember,2002,94,63000000,6.2,22870,1,0,1,0,0,0,0,Action
Austin Powers: International Man of Mystery,1997,94,17000000,7,33755,1,0,1,0,0,0,0,Action
Austin Powers: The Spy Who Shagged Me,1999,95,33000000,6.5,37019,1,0,1,0,0,0,0,Action
"Auteur Theory, The",1999,79,70000,4.5,76,0,0,1,0,0,0,0,Comedy
Auto Focus,2002,105,7000000,6.7,3276,0,0,0,1,0,0,0,Drama
Automation,2004,26,41000,6.1,13,0,0,0,0,0,0,1,Short
Autumn in New York,2000,103,40000000,4.7,3731,0,0,0,1,0,1,0,Drama
Avalon,2001,106,8000000,6.8,2723,0,1,0,1,0,0,0,Animation
Avanti popolo,1986,84,60000,8.8,51,0,0,0,1,0,0,0,Drama
Avanti!,1972,140,2750000,7.2,1043,0,0,1,1,0,1,0,Comedy
Avatars,2001,5,20000,3.3,7,1,0,0,0,0,0,1,Action
"Avengers, The",1998,89,60000000,3.4,11499,1,0,0,0,0,0,0,Action
"Aviator, The",2004,170,116000000,7.5,16217,0,0,0,1,0,0,0,Drama
"Awfully Big Adventure, An",1995,112,4000000,5.8,608,0,0,0,1,0,0,0,Drama
Ayurveda: Art of Being,2001,102,300000,7.2,52,0,0,0,0,1,0,0,Documentary
BUtterfield 8,1960,109,2500000,6,717,0,0,0,1,0,0,0,Drama
Babe,1995,89,30000000,7.4,16988,0,0,1,1,0,0,0,Comedy
Babe: Pig in the City,1998,97,80000000,6.5,3827,0,0,1,0,0,0,0,Comedy
Babel,1999,95,20000000,4.5,53,0,0,0,0,0,0,0,0
Babes in Arms,1939,93,748000,6.5,239,0,0,0,0,0,0,0,0
